          (   1,    2) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   3,    0) (   1,    2) (   1,    1) (   1,    4) (   1,    1)
          (   1,    0) (   1,    1) (   1,    7) (   1,    1) (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    0)
          (   4,    0) (   1,    1) (   1,    2) (   1,    1) (   1,    4) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    4)
          (   1,    7) (   1,    0) (   1,    0) (   1,    0) (   1,    1) (   3,    0) (   3,    1) (   3,    1) (   1,    2) (   1,    1)
          (   1,    4) (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    2) (   1,    0) (   1,    0) (   1,    2) (   1,    0)
          (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    2) (   1,    1) (   1,    5) (   1,    1) (   1,    0) (   1,    0)
          (   1,    2) (   1,    0) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    1) (   1,    1) (   1,    1) (   4,    2)
          (   1,    2) (   1,    1) (   1,    5) (   1,    0) (   1,    1) (   1,    6) (   1,    4) (   1,    1) (   1,    0) (   1,    1)
          (   1,    4) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    2) (   1,    1) (   1,    4) (   1,    0)
          (   1,    0) (   1,    5) (   1,    1) (   1,    0) (   1,    0) (   1,    1) (   1,    1) (   1,    0) (   1,    0) (   1,    2)
          (   4,    1) (   4,    2) (   1,    2) (   1,    1) (   1,    6) (   1,    1) (   1,    2) (   1,    3) (   1,    2) (   1,    2)
          (   1,    1) (   1,    0) (   1,    4) (   1,    0) (   1,    0) (   1,    1) (   1,    1) (   3,    1) (   1,    2) (   1,    1)
          (   1,    5) (   1,    0) (   1,    3) (   1,    1) (   1,    1) (   1,    0) (   1,    3) (   1,    1) (   1,    2) (   1,    0)
          (   1,    1) (   1,    0) (   1,    0) (   4,    0) (   1,    2) (   1,    1) (   1,    4) (   1,    4) (   1,    1) (   1,    2)
          (   1,    0) (   1,    0) (   3,    0) (   1,    5) (   1,    3) (   1,    2) (   1,    1) (   1,    1) (   1,    1) (   1,    1)
          (   1,    1) (   1,    1) (   1,    4) (   1,    1) (   1,    0) (   1,    0) (   1,    0) (   2,    0) (   1,    1) (   1,    3)
          (   1,    3) (   1,    1) (   1,    1) (   1,    1) (   4,    0) (   2,    1) (   1,    3) (   1,    2) (   1,    5) (   1,    0)
          (   1,    0) (   1,    1) (   1,    1) (   3,    1) (   1,    2) (   1,    1) (   1,    2) (   1,    0) (   1,    0) (   1,    1)
          (   1,    1) (   3,    1) (   1,    2) (   1,    2) (   1,    4) (   1,    0) (   1,    0) (   1,    1) (   1,    0) (   1,    3)
          (   1,    0) (   1,    3) (   1,    3) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    2) (   1,    1)
          (   1,    4) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    1) (   1,    7) (   1,    1) (   1,    2) (   1,    0)
          (   1,    0) (   1,    0) (   4,    0) (   1,    1) (   1,    2) (   1,    1) (   1,    5) (   1,    1) (   1,    1) (   1,    1)
          (   1,    1) (   4,    1) (   1,    2) (   1,    0) (   1,    3) (   1,    0) (   1,    0) (   1,    0) (   1,    0) (   1,    0)
